player_id,game_mode,region,snapshot_time,rating
28350590,0,NA,2026-08-05 03:37:42.71546+00,10912
3119,0,NA,2026-08-05 03:37:42.715463+00,10908
39112196,0,NA,2026-08-05 03:37:42.715465+00,10908
3243,0,NA,2026-08-05 03:37:42.715468+00,10906
340816671,0,NA,2026-08-05 03:37:42.715471+00,10900
317162113,0,NA,2026-08-05 03:37:42.715473+00,10898
3173647,0,NA,2026-08-05 03:37:42.715476+00,10884
9283,0,NA,2026-08-05 03:37:42.715479+00,10879
3267,0,NA,2026-08-05 03:37:42.715482+00,10878
100099941,0,NA,2026-08-05 03:37:42.715485+00,10867
128944023,0,NA,2026-08-05 03:37:42.715488+00,10860
3289306,0,NA,2026-08-05 03:37:42.71549+00,10857
332469101,0,NA,2026-08-05 03:37:42.715493+00,10857
24494969,0,NA,2026-08-05 03:37:42.715495+00,10829
9436,0,NA,2026-08-05 03:37:42.715498+00,10826
3976339,0,NA,2026-08-05 03:37:44.193354+00,10812
9728,0,NA,2026-08-05 03:37:44.193381+00,10804
4214917,0,NA,2026-08-05 03:37:44.193385+00,10799
50072526,0,NA,2026-08-05 03:37:44.193388+00,10798
46612981,0,NA,2026-08-05 03:37:44.193391+00,10795
9010706,0,NA,2026-08-05 03:37:44.193394+00,10783
12316598,0,NA,2026-08-05 03:37:44.193397+00,10776
8113,0,NA,2026-08-05 03:37:44.1934+00,10771
1644161,0,NA,2026-08-05 03:37:44.193403+00,10771
297930168,0,NA,2026-08-05 03:37:44.193406+00,10767
9461,0,NA,2026-08-05 03:37:44.193409+00,10767
180483732,0,NA,2026-08-05 03:37:44.193413+00,10762
21804315,0,NA,2026-08-05 03:37:44.193416+00,10748
155717269,0,NA,2026-08-05 03:37:44.193419+00,10742
10003,0,NA,2026-08-05 03:37:44.193422+00,10742
431145067,0,NA,2026-08-05 03:37:44.193424+00,10735
152887828,0,NA,2026-08-05 03:37:44.193427+00,10732
298749596,0,NA,2026-08-05 03:37:44.19343+00,10730
2870,0,NA,2026-08-05 03:37:44.193433+00,10728
40680980,0,NA,2026-08-05 03:37:44.193438+00,10724
217134054,0,NA,2026-08-05 03:37:44.193441+00,10722
2215975,0,NA,2026-08-05 03:37:44.193443+00,10719
155373066,0,NA,2026-08-05 03:37:44.193446+00,10713
172994649,0,NA,2026-08-05 03:37:44.193449+00,10707
382207144,0,NA,2026-08-05 03:37:44.193452+00,10686
27721825,0,NA,2026-08-05 03:37:44.614289+00,10684
9746,0,NA,2026-08-05 03:37:44.614316+00,10683
1629389,0,NA,2026-08-05 03:37:44.61432+00,10681
168091815,0,NA,2026-08-05 03:37:44.614323+00,10660
405477820,0,NA,2026-08-05 03:37:44.614326+00,10660
46570548,0,NA,2026-08-05 03:37:44.614329+00,10660
2969,0,NA,2026-08-05 03:37:44.614331+00,10645
12552318,0,NA,2026-08-05 03:37:44.614334+00,10636
98830,0,NA,2026-08-05 03:37:44.614337+00,10629
8470,0,NA,2026-08-05 03:37:44.61434+00,10628
195260655,0,NA,2026-08-05 03:37:44.614342+00,10623
8693,0,NA,2026-08-05 03:37:44.614345+00,10622
31805130,0,NA,2026-08-05 03:37:44.614348+00,10595
3285,0,NA,2026-08-05 03:37:44.61435+00,10591
155405823,0,NA,2026-08-05 03:37:44.614353+00,10589
9882,0,NA,2026-08-05 03:37:44.614355+00,10588
8271,0,NA,2026-08-05 03:37:44.614358+00,10587
9566,0,NA,2026-08-05 03:37:44.614362+00,10580
8483,0,NA,2026-08-05 03:37:44.614364+00,10577
8124,0,NA,2026-08-05 03:37:44.614367+00,10573
65089477,0,NA,2026-08-05 03:37:44.614369+00,10565
3007,0,NA,2026-08-05 03:37:44.614372+00,10563
36956713,0,NA,2026-08-05 03:37:44.614375+00,10560
762821,0,NA,2026-08-05 03:37:44.614378+00,10553
8850,0,NA,2026-08-05 03:37:44.61438+00,10552
216133215,0,NA,2026-08-05 03:37:45.614155+00,10548
213713518,0,NA,2026-08-05 03:37:45.614183+00,10546
152604172,0,NA,2026-08-05 03:37:45.614187+00,10543
297753591,0,NA,2026-08-05 03:37:45.61419+00,10537
381735891,0,NA,2026-08-05 03:37:45.614193+00,10537
2786,0,NA,2026-08-05 03:37:45.614196+00,10531
6254783,0,NA,2026-08-05 03:37:45.614199+00,10525
147744366,0,NA,2026-08-05 03:37:45.614202+00,10524
301484833,0,NA,2026-08-05 03:37:45.614206+00,10519
391993263,0,NA,2026-08-05 03:37:45.61421+00,10514
327939420,0,NA,2026-08-05 03:37:45.614213+00,10512
2620207,0,NA,2026-08-05 03:37:45.614216+00,10512
67446700,0,NA,2026-08-05 03:37:45.614219+00,10511
16189292,0,NA,2026-08-05 03:37:45.614223+00,10502
12727643,0,NA,2026-08-05 03:37:45.614226+00,10493
33449566,0,NA,2026-08-05 03:37:45.614229+00,10490
8503,0,NA,2026-08-05 03:37:45.614232+00,10486
